"","person_id","gender","age","income","tenure","tot_off_rec","tot_off_view","tot_off_comp","tot_trans","tot_amount","ave_amount","max_amount","reward_off"
"1","0610b486422d4921ae7d2bf64640c50b","F",55,112000,377,2,0,1,3,77.01,12.84,32.28,5
"2","78afa995795e4d85b5d9ceeca43f5fef","F",75,1e+05,444,4,4,3,7,159.27,8.85,29.72,20
"3","e2127556f4f64592b11af22de27a7932","M",68,70000,92,4,3,2,3,57.73,4.81,21.43,9
"4","389bc3fa690240e798340f5a15918d5c","M",65,53000,167,6,6,5,3,36.43,1.82,15.63,24
"5","2eeac8d8feae4a8cad5a6af0499a211d","M",58,51000,257,3,2,1,4,15.62,1.56,7.14,5
"6","aa4862eba776480b8bb9c68455b8c2e1","F",61,57000,319,5,5,3,6,85.55,4.5,23.3,30
"7","e12aeaf2d47d42479ea1c4ac3d8286c6","M",26,46000,1624,6,1,1,11,56.22,2.96,11.58,29
"8","31dda685af34476cad5bc968bdb01c53","F",62,71000,896,6,5,4,8,160.25,6.97,29.69,18
"9","62cf5e10845442329191fc246e7bcea3","M",49,52000,1351,3,2,1,9,144.11,9.61,109.3,15
"10","6445de3b47274c759400cd68131d91b4","M",57,42000,207,5,1,2,6,19.1,1.36,5.74,18
"11","a448667f336b42c9a66fc5ffd5d73772","F",61,40000,87,3,2,0,7,20.78,1.73,10.07,15
"12","440cf1fd7580490c971d8c651ed962af","F",40,71000,814,5,4,5,16,300.68,10.02,35.92,16
"13","4b0da7e80e5945209a1fdddfe813dbe0","M",64,1e+05,321,5,4,3,7,211.29,11.12,40.96,30
"14","c27e0d6ab72c455a8bb66d980963de60","F",78,71000,406,6,6,1,8,155.46,7.4,25.27,12
"15","f806632c011441378d4646567f357a21","M",42,69000,1811,4,4,3,5,91.4,5.71,28.29,14
"16","d058f73bf8674a26a95227db098147b1","F",56,88000,90,6,6,4,3,75.62,3.98,28.48,32
"17","c6c9884912c645429f3333f912b55f44","F",33,52000,304,6,3,1,9,17.9,0.94,7.6,19
"18","7429a044884842d6862f516c38b1156f","F",46,59000,319,4,1,0,1,2.88,0.48,2.88,20
"19","ebe7ef46ea6f4963a7dd49f501b26779","M",59,41000,1282,6,5,2,13,52.08,2,11.5,14
"20","5917d13f6fa04286abdf95f4d5cefb1e","M",67,96000,1434,4,3,4,8,206.88,10.89,33.83,21
"21","d1ede868e29245ea91818a903fec04c6","O",53,52000,314,5,3,1,5,18.74,1.34,8.64,27
"22","1e9420836d554513ab90eba98552d0a9","M",22,70000,305,6,6,4,6,106.38,4.84,28.82,38
"23","868317b9be554cb18e50bc68484749a2","F",96,89000,251,5,2,4,4,81.92,5.46,28.37,15
"24","f082d80f0aac47a99173ba8ef8fc1909","M",40,33000,748,6,4,1,14,40.94,1.64,11.13,30
"25","102e9454054946fda62242d2e176fdce","F",69,57000,712,6,6,4,14,213.49,7.12,21.12,30
"26","8dabe2142cdf4013a6f4786edf8ab00f","M",56,68000,1538,3,2,2,9,167.67,10.48,28.28,7
"27","9f30b375d7bd4c62a884ffe7034e09ee","F",26,63000,349,3,3,2,21,73.38,2.53,12.28,5
"28","6e014185620b49bd98749f728747572f","M",75,40000,987,4,3,4,10,155.53,7.41,115,12
"29","02c083884c7d45b39cc68e1314fec56c","F",20,30000,746,2,1,0,10,29.89,2.3,9.8,15
"30","c0d210398dee4a0895b24444a5fcd1d2","M",45,33000,20,5,5,3,8,61.25,2.92,18.56,28
"31","8b70ca1f5f5a45bdac2ac2f990b71526","M",61,98000,247,5,4,4,8,234.43,11.16,47.26,25
"32","8e7c7465e98c43d8a01f51e2b5c29542","F",69,37000,1773,5,3,1,12,32.72,1.56,8.97,33
"33","57dd18ec5ddc46828afb81ec5977bef2","F",54,80000,534,6,5,3,9,249.4,10.84,39.79,22
"34","be8a5d1981a2458d90b255ddc7e0d174","M",39,51000,1522,5,3,1,14,51.91,2.26,7.16,20
"35","3f89b8f80ebc4f94b7074f28071aa8d4","F",41,41000,1040,4,2,3,18,62.51,2.32,7.81,20
"36","a3b9b4bf115e4564933ea2e4bc936843","F",79,48000,1199,4,2,2,15,152,6.61,128,19
"37","7584948ea6d04f94b8798624706261c2","F",66,38000,110,4,4,1,5,56.08,4.01,17.26,25
"38","e9844d5beac04bf8b8d3ad18f7e37fca","F",56,52000,396,3,1,2,7,87.11,6.7,17.39,13
"39","f247806381704ea58c1b06f60602a6ae","F",39,56000,1465,5,3,3,13,150.23,6.26,106.26,15
"40","9fa9ae8f57894cc9a3b8a9bbe0fc1b2f","M",42,96000,921,4,4,4,12,320.48,13.35,34.56,20
"41","fe8264108d5b4f198453bbb1fa7ca6c9","F",78,93000,656,5,5,5,8,225.55,9.81,38.23,32
"42","186d6403f5824c739555b732f4af3f16","M",45,48000,294,4,2,0,6,17,1.42,6.58,17
"43","8a87fda1a6644337b4394a4c3cd0946c","M",29,50000,818,4,2,1,12,38.17,2.01,10.72,9
"44","b7a66e629b134079a9bc7120c7b9947b","M",44,35000,306,4,4,4,18,150.23,5.01,14.78,13
"45","ca82e1ebc759402c8ab95c341755bdf1","M",63,56000,14,3,3,3,9,121.62,6.76,22.29,14
"46","54890f68699049c2a04d415abc25e717","M",36,56000,210,3,2,2,7,118.85,8.49,22.39,8
"47","ab66a363907e43e9a7cd535f1578245b","F",76,47000,134,5,3,1,6,22.65,1.51,8.56,28
"48","d3f146b615514c6380b168bb3df5f05b","M",68,87000,338,5,5,5,8,177.18,7.7,26.23,25
"49","a5a6ef2b78a04ddc9f374dd7c7f60bff","M",75,52000,970,3,3,2,11,135.54,7.13,19.18,7
"50","2e87ba0fba1a4d1a8614af771f07a94d","M",67,76000,515,5,5,4,12,200.78,7.72,23.2,13
"51","d8af520c4a8a4c77b921098d7d838c4d","M",77,51000,727,5,4,0,11,23.81,1.19,5.94,20
"52","39dbcf43e24d41f4bbf0f134157e0e1e","M",76,64000,1426,3,2,1,8,110.92,7.92,26.4,12
"53","b62e66ca4dcf4df39fd522e750a88d81","M",57,98000,169,3,0,2,1,27.24,4.54,27.24,20
"54","8c7df0c393db488aac3e58b06a7ea5f9","F",53,72000,751,6,4,5,9,167.88,7,28.69,27
"55","3a1242dda16248728e350c4bdeb21972","F",53,117000,572,5,4,5,10,303.2,12.63,44.11,37
"56","8045834137dc47faa24f2c4547969f33","F",53,55000,274,5,3,1,8,20.18,1.19,4.83,19
"57","fb98ebe9e3e14afaa5b5db182b00b7ec","F",61,112000,258,5,5,2,2,67.25,4.8,33.87,9
"58","5cd6577aca5d4b419e452f9f505ffce7","F",67,77000,685,3,3,1,8,155.73,10.38,24.06,7
"59","99e9a1916821461ebd5d5048dc2dff7d","F",58,85000,182,4,4,4,15,290.42,10.76,28.32,14
"60","e528ceb341964128aaf58a59733ec2af","F",46,36000,28,5,3,0,5,17.13,1.32,6.58,8
"61","faf74115a43b4f718f4d4c0de116ee8a","M",30,41000,236,2,2,0,4,11.95,1.49,5.07,10
"62","0b73997a269247088b2a63355f53ee58","M",59,89000,341,6,4,2,2,45.4,3.24,22.96,31
"63","f44b44b53c0548d5b27c812fda4c358a","M",51,41000,938,6,4,3,20,75.96,2.3,10.28,29
"64","6e04a90a0e074496b5f229eb1f553433","M",27,35000,197,5,4,1,12,29.56,1.34,6.92,12
"65","262ad0fb526a4d53b572007da60cce24","M",40,53000,149,4,3,0,5,8.17,0.68,3.05,10
"66","a2b7a0b3487a4d779ddf4e11a034e2ee","F",73,91000,99,5,5,3,4,109.16,6.42,33.17,20
"67","2c5c63e5124e417b8504f76c868a4190","F",74,107000,945,5,4,4,10,298.3,12.97,45.98,9
"68","9d6da0a2ac54474e8ec986fd21cecef0","M",42,66000,978,3,2,2,7,136.94,9.78,33.26,8
"69","571b739ada3041fb8fbd20f23ce034f7","M",78,58000,988,6,6,3,10,126.94,5.08,18.54,30
"70","816afd4505d047cf893275fbfe825590","F",54,53000,578,6,5,2,18,57.03,1.84,8.48,44
"71","13b7b2eccf664a329d83d2a238a9a11d","F",70,74000,44,3,3,0,0,0,0,0,13
"72","68eee228713c429ebe1300155ad1fb33","F",49,57000,475,5,5,3,10,184.78,8.03,28.27,18
"73","ffc6c9fbe34b4578911dcdf6745b4c74","F",62,57000,108,3,2,0,0,0,0,0,13
"74","cbebad9819494b479dbf0c1207b4c0c5","M",64,70000,508,4,4,4,9,140.34,6.68,23,20
"75","4264b1d027cc493281bba4f44bfedaca","F",89,87000,254,4,3,4,9,248.63,12.43,45.04,13
"76","0ba6e2ad781c4429afd26cf0b35f2d11","M",73,51000,117,5,4,1,9,23.43,1.23,6.82,17
"77","b5abc1e85be84f43937b4fca0ad238cb","F",50,93000,447,5,5,4,12,297.29,11.43,35.21,13
"78","1c587de019994f93a242c6864fd7bc55","F",90,98000,959,4,1,1,3,80.03,8.89,38.19,25
"79","3f4e408b0b2d4ea89dd16d7437d867c1","F",68,84000,726,5,0,1,2,34.04,4.26,17.22,22
"80","13bda8fbd70a4814b956df1d55320398","M",60,64000,535,3,2,1,12,44.14,2.45,7.8,10
"81","b19c8e7ac2ff40ae92b4fcf3247f8912","M",45,54000,346,5,3,0,6,11.51,0.82,5.47,27
"82","21c73d53e2a74bb1b4dc172bff2b1aad","M",66,49000,914,6,5,5,18,200.93,5.91,16.49,23
"83","1abeb816d9fa49b4b5b5ae51bc3d24c3","F",19,73000,650,5,3,2,11,202.75,9.65,26.91,14
"84","92e07c49ee7448fca6e48df0c96e3eec","F",66,58000,160,5,4,3,10,163.53,7.43,23.98,18
"85","f8aedd0cbea0419c806842b4265b82e5","F",72,72000,715,6,5,6,12,201.92,6.96,24.39,40
"86","a9780228a1d04539afdee8b745e4be10","M",76,63000,841,5,5,4,13,224.76,8.32,29.85,14
"87","94f14dcfedba47e18b7efca13dd7574b","M",52,78000,438,5,3,4,6,117.92,6.55,29.14,34
