"","person_id","gender","age","income","tenure","tot_off_rec","tot_off_view","tot_off_comp","tot_reward","tot_trans","tot_amount","ave_amount","max_amount","ave_amount_in","tot_trans_in","ave_amount_out","tot_trans_out","tot_reward_rec","bogo_rec","disc_rec","info_rec","bogo_view","disc_view","info_view","bogo_comp","disc_comp","mob_rec","social_rec","web_rec","mob_view","social_view","web_view","mob_comp","social_comp","web_comp"
"1","0610b486422d4921ae7d2bf64640c50b","F",55,112000,377,2,0,1,5,3,77.01,25.67,32.28,23.22,1,26.9,2,5,1,0,1,0,0,1,1,0,2,0,2,0,0,1,1,0,1
"2","78afa995795e4d85b5d9ceeca43f5fef","F",75,1e+05,444,4,4,3,20,7,159.27,22.75,29.72,20.8,2,23.53,5,20,3,0,1,3,0,3,3,0,4,3,2,4,3,3,3,2,2
"3","e2127556f4f64592b11af22de27a7932","M",68,70000,92,4,3,2,7,3,57.73,19.24,21.43,18.42,1,19.66,2,7,1,2,1,1,2,1,1,1,4,1,4,3,1,1,2,1,2
"4","389bc3fa690240e798340f5a15918d5c","M",65,53000,167,6,6,5,19,3,36.43,12.14,15.63,12.14,3,0,0,19,4,2,0,4,2,4,3,2,6,3,6,6,3,4,5,3,5
"5","2eeac8d8feae4a8cad5a6af0499a211d","M",58,51000,257,3,2,1,2,4,15.62,3.9,7.14,7.14,1,2.83,3,2,0,2,1,0,2,0,0,1,3,2,3,2,2,0,1,1,1
"6","aa4862eba776480b8bb9c68455b8c2e1","F",61,57000,319,5,5,3,25,6,85.55,14.26,23.3,13.61,3,14.9,3,25,3,1,1,3,1,3,3,0,4,4,3,4,4,3,3,3,2
"7","e12aeaf2d47d42479ea1c4ac3d8286c6","M",26,46000,1624,6,1,1,5,11,56.22,5.11,11.58,8.8,1,4.74,10,5,1,5,0,1,0,1,0,1,3,1,5,1,1,1,0,0,1
"8","31dda685af34476cad5bc968bdb01c53","F",62,71000,896,6,5,4,11,8,160.25,20.03,29.69,18.83,4,21.23,4,11,0,6,0,0,5,0,0,4,5,5,6,4,4,0,4,4,4
"9","62cf5e10845442329191fc246e7bcea3","M",49,52000,1351,3,2,1,10,9,144.11,16.01,109.3,109.3,1,4.35,8,10,1,1,1,1,0,1,1,0,2,2,1,2,2,1,1,1,0
"10","6445de3b47274c759400cd68131d91b4","M",57,42000,207,5,1,2,8,6,19.1,3.18,5.74,2.98,2,3.28,4,8,2,2,1,0,1,2,1,1,4,1,5,1,1,2,2,1,2
"11","a448667f336b42c9a66fc5ffd5d73772","F",61,40000,87,3,2,0,0,7,20.78,2.97,10.07,0,0,2.97,7,0,2,0,1,1,0,2,0,0,3,2,1,2,2,2,0,0,0
"12","440cf1fd7580490c971d8c651ed962af","F",40,71000,814,5,4,5,16,16,300.68,18.79,35.92,18.94,5,18.72,11,16,0,5,0,0,4,0,0,5,4,3,5,3,3,0,4,3,5
"13","4b0da7e80e5945209a1fdddfe813dbe0","M",64,1e+05,321,5,4,3,20,7,211.29,30.18,40.96,31.12,3,29.48,4,20,2,2,1,2,1,2,1,2,3,2,3,3,2,2,1,1,2
"14","c27e0d6ab72c455a8bb66d980963de60","F",78,71000,406,6,6,1,2,8,155.46,19.43,25.27,13.32,1,20.31,7,2,1,1,4,1,1,1,0,1,6,4,4,6,4,1,1,1,1
"15","f806632c011441378d4646567f357a21","M",42,69000,1811,4,4,3,14,5,91.4,18.28,28.29,19.82,3,15.97,2,14,1,2,1,1,2,1,1,2,4,3,4,4,3,1,3,3,3
"16","d058f73bf8674a26a95227db098147b1","F",56,88000,90,6,6,4,22,3,75.62,25.21,28.48,27.86,2,19.91,1,22,3,3,0,3,3,3,1,3,4,1,6,4,1,3,2,1,4
"17","c6c9884912c645429f3333f912b55f44","F",33,52000,304,6,3,1,2,9,17.9,1.99,7.6,3.07,1,1.85,8,2,1,5,0,0,3,1,0,1,5,2,6,3,2,1,1,1,1
"18","7429a044884842d6862f516c38b1156f","F",46,59000,319,4,1,0,0,1,2.88,2.88,2.88,0,0,2.88,1,0,1,2,1,1,0,1,0,0,2,1,4,1,1,1,0,0,0
"19","ebe7ef46ea6f4963a7dd49f501b26779","M",59,41000,1282,6,5,2,4,13,52.08,4.01,11.5,10.41,2,2.84,11,4,2,2,2,1,2,2,0,2,6,3,4,5,3,2,2,1,2
"20","5917d13f6fa04286abdf95f4d5cefb1e","M",67,96000,1434,4,3,4,21,8,206.88,25.86,33.83,26.24,4,25.48,4,21,2,2,0,1,2,2,2,2,4,4,3,3,3,2,4,4,3
"21","d1ede868e29245ea91818a903fec04c6","O",53,52000,314,5,3,1,2,5,18.74,3.75,8.64,2.8,1,3.99,4,2,3,1,1,2,0,3,0,1,5,3,4,3,3,3,1,0,1
"22","1e9420836d554513ab90eba98552d0a9","M",22,70000,305,6,6,4,28,6,106.38,17.73,28.82,22.19,3,13.27,3,28,3,2,1,3,2,3,2,2,5,4,5,5,4,3,3,3,4
"23","868317b9be554cb18e50bc68484749a2","F",96,89000,251,5,2,4,15,4,81.92,20.48,28.37,17.85,3,28.37,1,15,2,2,1,1,0,2,2,2,5,3,4,2,2,2,4,2,4
"24","f082d80f0aac47a99173ba8ef8fc1909","M",40,33000,748,6,4,1,5,14,40.94,2.92,11.13,5.47,1,2.73,13,5,5,0,1,3,0,5,1,0,6,3,4,4,3,5,1,0,1
"25","102e9454054946fda62242d2e176fdce","F",69,57000,712,6,6,4,30,14,213.49,15.25,21.12,17.76,4,14.25,10,30,4,0,2,4,0,4,4,0,6,3,4,6,3,4,4,2,3
"26","8dabe2142cdf4013a6f4786edf8ab00f","M",56,68000,1538,3,2,2,7,9,167.67,18.63,28.28,20.09,2,18.21,7,7,0,2,1,0,2,0,0,2,2,2,2,1,1,0,1,1,2
"27","9f30b375d7bd4c62a884ffe7034e09ee","F",26,63000,349,3,3,2,5,21,73.38,3.49,12.28,5.89,2,3.24,19,5,0,2,1,0,2,0,0,2,3,3,2,3,3,0,2,2,2
"28","6e014185620b49bd98749f728747572f","M",75,40000,987,4,3,4,12,10,155.53,15.55,115,32.22,4,4.44,6,12,1,3,0,1,2,1,1,3,4,2,4,3,2,1,4,2,4
"29","02c083884c7d45b39cc68e1314fec56c","F",20,30000,746,2,1,0,0,10,29.89,2.99,9.8,0,0,2.99,10,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0
"30","c0d210398dee4a0895b24444a5fcd1d2","M",45,33000,20,5,5,3,18,8,61.25,7.66,18.56,11.29,3,5.48,5,18,3,1,1,3,1,3,2,1,5,3,5,5,3,3,3,2,3
"31","8b70ca1f5f5a45bdac2ac2f990b71526","M",61,98000,247,5,4,4,20,8,234.43,29.3,47.26,24.51,4,34.09,4,20,3,2,0,3,1,3,2,2,5,3,5,4,3,3,4,2,4
"32","8e7c7465e98c43d8a01f51e2b5c29542","F",69,37000,1773,5,3,1,5,12,32.72,2.73,8.97,4.21,1,2.59,11,5,3,2,0,2,1,3,0,1,4,3,3,3,3,3,0,0,1
