"","person_id","offer_num1","offer_num2","offer_num3","offer_num4","offer_num5","offer_num6","offer_viewed1","offer_viewed2","offer_viewed3","offer_viewed4","offer_viewed5","offer_viewed6"
"1","78afa995795e4d85b5d9ceeca43f5fef","offer4","offer8",NA,"offer1","offer9",NA,1,1,NA,1,NA,1
"2","a03223e636434f42ac4c3df47e8bac43","offer5",NA,"offer3","offer8","offer5","offer5",1,NA,1,NA,NA,1
"3","e2127556f4f64592b11af22de27a7932","offer10",NA,"offer3","offer4","offer7",NA,1,NA,NA,1,1,NA
"4","8ec6ce2a7e7949b1bf142def7d0e0586","offer7","offer2","offer3","offer10","offer7",NA,1,1,1,1,1,NA
"5","68617ca6246f4fbc85e91a2a49552598","offer2","offer1","offer6","offer10","offer4",NA,1,NA,1,1,NA,1
"6","389bc3fa690240e798340f5a15918d5c","offer9","offer4","offer10","offer4","offer9","offer7",1,1,1,1,1,1
"7","c4863c7985cf408faee930f111475da3","offer6",NA,"offer6",NA,NA,"offer1",1,NA,1,NA,NA,1
"8","2eeac8d8feae4a8cad5a6af0499a211d","offer3","offer6","offer7",NA,NA,NA,NA,1,1,NA,NA,NA
"9","aa4862eba776480b8bb9c68455b8c2e1","offer5","offer2","offer8","offer1",NA,"offer9",1,1,1,1,NA,1
"10","31dda685af34476cad5bc968bdb01c53","offer5","offer7","offer6","offer6","offer6","offer7",1,1,1,1,NA,1
"11","744d603ef08c4f33af5a61c8c7628d1c","offer5","offer6",NA,"offer2","offer1","offer8",1,1,NA,1,1,1
"12","3d02345581554e81b7b289ab5e288078","offer5",NA,"offer9",NA,NA,"offer10",1,NA,1,NA,NA,1
"13","4b0da7e80e5945209a1fdddfe813dbe0","offer1","offer5","offer5","offer3","offer1",NA,1,1,NA,1,1,NA
"14","c27e0d6ab72c455a8bb66d980963de60","offer3","offer8","offer3","offer7","offer2","offer8",1,1,1,1,1,1
"15","d53717f5400c4e84affdaeda9dd926b3","offer5",NA,"offer10","offer8",NA,"offer5",1,NA,1,NA,NA,1
"16","f806632c011441378d4646567f357a21","offer7","offer2",NA,"offer7",NA,"offer3",1,1,NA,1,NA,1
"17","d058f73bf8674a26a95227db098147b1","offer5","offer10","offer5","offer2","offer4","offer4",1,1,1,1,1,1
"18","65aba5c617294649aeb624da249e1ee5","offer10","offer4","offer1","offer7",NA,"offer5",NA,1,1,1,NA,1
"19","ebe7ef46ea6f4963a7dd49f501b26779","offer4","offer7","offer8","offer10","offer8","offer4",NA,1,1,1,1,1
"20","1e9420836d554513ab90eba98552d0a9","offer1","offer2","offer2","offer6","offer3","offer5",1,1,1,1,1,1
"21","868317b9be554cb18e50bc68484749a2","offer10",NA,"offer8","offer4","offer9","offer6",NA,NA,1,NA,1,NA
"22","f082d80f0aac47a99173ba8ef8fc1909","offer4","offer8","offer1","offer9","offer4","offer4",1,1,1,1,NA,NA
"23","102e9454054946fda62242d2e176fdce","offer2","offer3","offer4","offer8","offer4","offer1",1,1,1,1,1,1
"24","4beeb3ed64dd4898b0edf2f6b67426d3","offer10",NA,"offer8",NA,"offer9","offer1",NA,NA,1,NA,1,NA
"25","9f30b375d7bd4c62a884ffe7034e09ee","offer6",NA,"offer8","offer7",NA,NA,1,NA,1,1,NA,NA
"26","25c906289d154b66bf579693f89481c9","offer10","offer8","offer9","offer7","offer2","offer6",NA,1,1,1,1,1
"27","6e014185620b49bd98749f728747572f","offer9","offer10","offer6","offer10",NA,NA,1,1,1,NA,NA,NA
"28","02c083884c7d45b39cc68e1314fec56c","offer1",NA,NA,"offer5",NA,NA,1,NA,NA,NA,NA,NA
"29","c0d210398dee4a0895b24444a5fcd1d2","offer4",NA,"offer6","offer2","offer3","offer2",1,NA,1,1,1,1
"30","8be4463721e14d7fa600686bf8c8b2ed","offer7","offer5","offer9","offer5","offer5",NA,1,1,1,NA,NA,1
"31","57dd18ec5ddc46828afb81ec5977bef2","offer4","offer8","offer2","offer3","offer9","offer7",NA,1,1,1,1,1
"32","be8a5d1981a2458d90b255ddc7e0d174","offer8","offer9","offer2",NA,"offer3","offer5",1,1,1,NA,NA,NA
"33","a3b9b4bf115e4564933ea2e4bc936843","offer4",NA,"offer10",NA,"offer1","offer10",1,NA,NA,NA,1,NA
"34","7584948ea6d04f94b8798624706261c2","offer2",NA,"offer8","offer1",NA,"offer4",1,NA,1,1,NA,1
"35","9c64321646bf40f6ad1bc98864eaa6b8","offer7","offer10",NA,"offer5","offer2",NA,1,1,NA,NA,1,NA
"36","676506bad68e4161b9bbaffeb039626b","offer1",NA,NA,NA,"offer5","offer4",1,NA,NA,NA,NA,1
"37","9fa9ae8f57894cc9a3b8a9bbe0fc1b2f","offer10",NA,"offer6","offer5","offer2",NA,1,NA,1,1,1,NA
"38","020d3a52b9ce432ea5f98fc58e9bfcc4","offer10","offer3",NA,"offer6",NA,NA,1,1,NA,1,NA,NA
"39","32fbf97e89274e8a935903f2ad095e1f","offer4","offer5","offer4",NA,"offer5","offer8",1,1,1,NA,NA,1
"40","fe8264108d5b4f198453bbb1fa7ca6c9","offer1","offer5",NA,"offer2","offer7","offer9",1,1,NA,1,1,1
"41","b7a66e629b134079a9bc7120c7b9947b","offer9",NA,NA,"offer6","offer6","offer7",1,NA,NA,1,1,1
"42","ca82e1ebc759402c8ab95c341755bdf1","offer10","offer7",NA,NA,"offer1",NA,1,1,NA,NA,1,NA
