,id,gender,age,membership_start,income
0,68be06ca386d4c31939f3a4f0e3dd783,,118,2017-02-12,
1,0610b486422d4921ae7d2bf64640c50b,F,55,2017-07-15,112000.0
2,38fe809add3b4fcf9315a9694bb96ff5,,118,2018-07-12,
3,78afa995795e4d85b5d9ceeca43f5fef,F,75,2017-05-09,100000.0
4,a03223e636434f42ac4c3df47e8bac43,,118,2017-08-04,
5,e2127556f4f64592b11af22de27a7932,M,68,2018-04-26,70000.0
6,8ec6ce2a7e7949b1bf142def7d0e0586,,118,2017-09-25,
7,68617ca6246f4fbc85e91a2a49552598,,118,2017-10-02,
8,389bc3fa690240e798340f5a15918d5c,M,65,2018-02-09,53000.0
9,8974fc5686fe429db53ddde067b88302,,118,2016-11-22,
10,c4863c7985cf408faee930f111475da3,,118,2017-08-24,
11,148adfcaa27d485b82f323aaaad036bd,,118,2015-09-19,
12,2eeac8d8feae4a8cad5a6af0499a211d,M,58,2017-11-11,51000.0
13,aa4862eba776480b8bb9c68455b8c2e1,F,61,2017-09-11,57000.0
14,e12aeaf2d47d42479ea1c4ac3d8286c6,M,26,2014-02-13,46000.0
15,31dda685af34476cad5bc968bdb01c53,F,62,2016-02-11,71000.0
16,62cf5e10845442329191fc246e7bcea3,M,49,2014-11-13,52000.0
17,744d603ef08c4f33af5a61c8c7628d1c,,118,2017-08-01,
18,6445de3b47274c759400cd68131d91b4,M,57,2017-12-31,42000.0
19,a448667f336b42c9a66fc5ffd5d73772,F,61,2018-05-01,40000.0
20,440cf1fd7580490c971d8c651ed962af,F,40,2016-05-04,71000.0
21,4b0da7e80e5945209a1fdddfe813dbe0,M,64,2017-09-09,100000.0
22,c27e0d6ab72c455a8bb66d980963de60,F,78,2017-06-16,71000.0
23,2b826eba31074a059d63b0ae8f50b7d5,,118,2017-09-07,
24,f806632c011441378d4646567f357a21,M,42,2013-08-11,69000.0
25,d058f73bf8674a26a95227db098147b1,F,56,2018-04-28,88000.0
26,65aba5c617294649aeb624da249e1ee5,,118,2017-03-30,
27,c6c9884912c645429f3333f912b55f44,F,33,2017-09-26,52000.0
28,7429a044884842d6862f516c38b1156f,F,46,2017-09-11,59000.0
29,ebe7ef46ea6f4963a7dd49f501b26779,M,59,2015-01-21,41000.0
30,5917d13f6fa04286abdf95f4d5cefb1e,M,67,2014-08-23,96000.0
31,d1ede868e29245ea91818a903fec04c6,O,53,2017-09-16,52000.0
32,1e9420836d554513ab90eba98552d0a9,M,22,2017-09-25,70000.0
33,868317b9be554cb18e50bc68484749a2,F,96,2017-11-17,89000.0
34,f082d80f0aac47a99173ba8ef8fc1909,M,40,2016-07-09,33000.0
35,102e9454054946fda62242d2e176fdce,F,69,2016-08-14,57000.0
36,4beeb3ed64dd4898b0edf2f6b67426d3,,118,2016-07-07,
37,8dabe2142cdf4013a6f4786edf8ab00f,M,56,2014-05-11,68000.0
38,9f30b375d7bd4c62a884ffe7034e09ee,F,26,2017-08-12,63000.0
39,25c906289d154b66bf579693f89481c9,,118,2018-01-13,
40,6e014185620b49bd98749f728747572f,M,75,2015-11-12,40000.0
41,02c083884c7d45b39cc68e1314fec56c,F,20,2016-07-11,30000.0
42,c0d210398dee4a0895b24444a5fcd1d2,M,45,2018-07-07,33000.0
43,8b70ca1f5f5a45bdac2ac2f990b71526,M,61,2017-11-21,98000.0
44,5b8f1f0e0930464f93bb55e59b5a04e0,,118,2014-11-11,
45,8be4463721e14d7fa600686bf8c8b2ed,,118,2017-05-11,
46,8e7c7465e98c43d8a01f51e2b5c29542,F,69,2013-09-18,37000.0
47,57dd18ec5ddc46828afb81ec5977bef2,F,54,2017-02-07,80000.0
48,be8a5d1981a2458d90b255ddc7e0d174,M,39,2014-05-27,51000.0
49,3f89b8f80ebc4f94b7074f28071aa8d4,F,41,2015-09-21,41000.0
50,a3b9b4bf115e4564933ea2e4bc936843,F,79,2015-04-15,48000.0
51,7584948ea6d04f94b8798624706261c2,F,66,2018-04-08,38000.0
