"gender","age","membership_start","income","ave_spend","max_spend","tenure","recency","frequency","monetary_value","r_score","f_score","m_score","fm_string","fm_score","rfm_string","rfm_score","person_id"
"M",33,"2017-04-21",72000,15.95,28.16,462,696,8,127.6,"9","6","7","67",13,"967",22,"0009655768c64bdeb2e877511632db8f"
"O",40,"2018-01-09",57000,15.89,23.03,198,654,5,79.46,"6","4","5","45",9,"645",15,"0011e0d4e6b944f998e987f904e8c1e5"
"F",59,"2016-03-04",90000,24.61,33.86,874,708,8,196.86,"10","6","9","69",15,"1069",25,"0020c2b971eb4e9188eac86d93036a77"
"F",24,"2016-11-11",60000,12.84,20.08,622,672,12,154.05,"7","8","8","88",16,"788",23,"0020ccbbb6d84e358d3414a3ff76cffd"
"F",26,"2017-06-21",73000,2.69,7.41,401,696,18,48.34,"9","10","4","104",14,"9104",23,"003d66b6608740288d6cc97a6903f4f0"
"F",19,"2016-08-09",65000,4.03,16.97,717,696,17,68.51,"9","10","5","105",15,"9105",24,"00426fe3ffde4c6b9cb9ad6d077a13ea"
"F",55,"2018-05-08",74000,23.06,27.92,80,714,6,138.36,"10","5","7","57",12,"1057",22,"004b041fbfe44859945daa2c7f79ee64"
"M",54,"2016-03-31",99000,28.95,43.21,848,690,12,347.38,"8","8","10","810",18,"8810",26,"004c5799adbf42868b9cff0396190900"
"M",56,"2017-12-09",47000,5.09,9.03,229,588,4,20.36,"3","3","2","32",5,"332",8,"005500a7188546ff8a767329a2f7c76a"
"M",54,"2016-08-21",91000,28.83,29.89,705,672,5,144.14,"7","4","7","47",11,"747",18,"0056df74b63b4298809f0b375a304cf4"
"F",58,"2017-12-07",119000,25.01,41.78,231,702,15,375.12,"9","9","10","910",19,"9910",28,"00715b6e55c3431cb56ff7307eb19675"
"F",28,"2017-09-08",68000,17.41,24.59,322,696,7,121.85,"9","6","7","67",13,"967",22,"0082fd87c18f45f2be70dbcbb0fb8aad"
"M",26,"2014-12-21",61000,3.7,8.4,1313,684,17,62.93,"8","10","5","105",15,"8105",23,"00840a2ca5d2408e982d56544dc14ffd"
"M",71,"2017-10-23",41000,1.56,2.81,277,624,4,6.26,"4","3","1","31",4,"431",8,"00857b24b13f4fe0ad17b605f00357f5"
"M",24,"2017-09-10",42000,2.31,4.07,320,450,7,16.18,"1","6","2","62",8,"162",9,"008d7088107b468893889da0ede0df5c"
"F",62,"2016-06-17",81000,23.26,42.83,770,540,12,279.16,"2","8","10","810",18,"2810",20,"0091d2b6a5ea4defaa8393e4e816db60"
"M",61,"2018-02-14",66000,11.76,68.82,162,594,9,105.83,"3","7","6","76",13,"376",16,"0099bf30e4cb4265875266eb3eb25eab"
"F",88,"2015-10-24",54000,15.13,26.39,1007,600,11,166.4,"3","8","8","88",16,"388",19,"00a794f62b9a48beb58f8f6c02c2f1a6"
"M",55,"2015-11-15",83000,27.26,39.48,984,696,8,218.05,"9","6","9","69",15,"969",24,"00ae03011f9f49b8a4b3e6d416678b0b"
"M",21,"2018-01-06",59000,4.11,8.82,201,546,5,20.53,"2","4","2","42",6,"242",8,"00aee28bbb3848dd8a31f0c91dc267dd"
"M",72,"2017-04-07",102000,26.65,34.3,476,702,5,133.25,"9","4","7","47",11,"947",20,"00b18b535d6d4f779dea4dc9ac451478"
"M",62,"2016-08-25",80000,16.39,23.88,701,702,10,163.92,"9","8","8","88",16,"988",25,"00b3400e4ff64ee68ce9ada1d0c222f0"
"M",50,"2017-06-27",104000,27.45,33.85,395,678,8,219.63,"7","6","9","69",15,"769",22,"00b3c376db2a4115af3aef34a02f61d6"
"F",68,"2018-06-22",76000,13.39,20.19,35,570,4,53.55,"3","3","4","34",7,"334",10,"00b901d68f8f4fd68075184cd0f772d2"
"M",94,"2014-11-28",50000,11.03,18.51,1336,600,7,77.21,"3","6","5","65",11,"365",14,"00bbce6533f44ddeaf4dd32bcab55441"
"M",44,"2016-01-11",72000,18.83,23.99,927,702,8,150.64,"9","6","8","68",14,"968",23,"00bc42a62f884b41a13cc595856cf7c3"
"M",59,"2017-10-16",77000,21.17,27.99,284,396,3,63.5,"1","2","5","25",7,"125",8,"00bc983061d3471e8c8e74d31b7c8b6f"
"O",52,"2016-03-06",80000,20.5,25.2,872,624,8,164.01,"4","6","8","68",14,"468",18,"00c20a9202d5475190b31a24de6fb06d"
"F",58,"2018-06-30",102000,24.82,39.06,27,582,5,124.09,"3","4","7","47",11,"347",14,"00c2f812f4604c8893152a5c6572030e"
"M",33,"2017-12-22",42000,3.49,5.93,216,384,2,6.98,"1","1","1","11",2,"111",3,"00c32a104f0c4065b5b552895fb22e34"
"M",28,"2017-10-03",35000,1.29,1.56,297,558,2,2.59,"2","1","1","11",2,"211",4,"00c5a385c71a4d3db5e9b4e31e430943"
